arm,entry_date,exit_date,ticker,entry,stop,exit,realized,R,hold_days,reasons,sic2,group_n,group_rank,group_N,leader_rank_1m,leader_N_1m,leader_rank_3m,leader_N_3m,leader_rank_6m,leader_N_6m,etf,etf_rank,etf_N,dvol20,adr20
A0,2019-02-15,2019-02-19,CZR,9.63,9.39,9.3107,-266.63,-1.353,4,stop,70,3.0,,,134.0,261,93.0,259,109.0,255,XLY,5.0,11.0,294433440.0545,0.024479283191219944
A0,2019-02-20,2019-02-21,EBAY,37.17,36.69,36.5934,-226.64,-1.19,1,stop,73,45.0,1.0,5.0,34.0,246,32.0,244,65.0,240,XLI,1.0,11.0,585146047.6270001,0.024203456725132806
A0,2019-02-20,2019-02-21,ALXN,129.91,128.45,128.3216,-177.88,-1.088,1,stop,28,27.0,3.0,5.0,84.0,246,119.0,244,64.0,240,XLV,7.0,11.0,213867336.55800003,0.02504130799164251
A0,2019-02-08,2019-02-22,FIVE,127.77,124.73,128.222,29.53,0.15,14,partial;stop,53,4.0,,,173.0,277,91.0,275,30.0,271,XLY,6.0,11.0,107816069.54200001,0.030101223662641518
A0,2019-02-20,2019-02-22,HES,58.29,57.35,57.2927,-249.89,-1.061,2,stop,29,4.0,,,96.0,246,154.0,244,143.0,240,XLE,9.0,11.0,215404035.398,0.03106895837647569
A0,2019-02-22,2019-02-25,SPOT,150.01,148.8,148.6512,-131.79,-1.123,3,stop,48,8.0,,,93.0,228,102.0,227,164.0,223,XLC,6.0,11.0,283141107.008,0.03212008881036375
A0,2019-02-22,2019-02-26,NXPI,95.09,93.97,93.876,-186.5,-1.084,4,stop,36,22.0,2.0,5.0,41.0,228,99.0,227,68.0,223,XLK,5.0,11.0,450231208.2375,0.025245825098850067
A0,2019-02-25,2019-02-26,NFLX,36.74,36.38,36.2617,-189.92,-1.327,1,stop,78,2.0,,,89.0,225,44.0,225,64.0,221,XLC,4.0,11.0,2952480014.104,0.027594588851475976
A0,2019-02-25,2019-02-28,SQ,78.23,76.78,75.8441,-445.82,-1.646,3,stop,73,41.0,1.0,5.0,112.0,225,83.0,225,84.0,221,XLK,1.0,11.0,948456824.867,0.03352166335432417
A0,2019-02-27,2019-02-28,HES,58.98,57.8,57.7422,-204.06,-1.049,1,stop,29,4.0,,,87.0,209,125.0,209,117.0,205,XLE,10.0,11.0,199146819.828,0.029195868994925128
A0,2019-01-31,2019-03-04,WDAY,180.68,179.29,182.4295,143.42,1.258,32,partial;stop,73,49.0,2.0,8.0,251.0,338,8.0,337,20.0,335,XLK,9.0,11.0,338241527.8645,0.029268676478485252
A0,2019-03-01,2019-03-04,NOW,48.51,47.86,47.8101,-208.7,-1.073,3,stop,73,40.0,1.0,4.0,22.0,223,22.0,223,28.0,219,XLK,2.0,11.0,544735737.0215,0.025459910584066492
A0,2019-03-01,2019-03-04,ALGN,263.9,258.96,258.701,-202.9,-1.052,3,stop,38,9.0,,,59.0,223,85.0,223,187.0,219,XLV,8.0,11.0,302157652.09900004,0.027898691877585514
A0,2019-03-05,2019-03-06,MRO,17.49,17.15,17.1328,-295.04,-1.051,1,stop,13,21.0,5.0,5.0,65.0,234,116.0,232,163.0,228,XLE,8.0,11.0,227142501.72650003,0.02928501830356515
A0,2019-03-11,2019-03-15,DOCU,56.95,56.11,57.1495,46.81,0.241,4,partial;stop,73,45.0,2.0,4.0,44.0,247,26.0,245,120.0,241,XLK,3.0,11.0,107612822.33900002,0.024832569121568067
A0,2019-03-11,2019-03-15,MLNX,119.07,117.88,117.7621,-159.43,-1.099,4,stop,36,15.0,1.0,4.0,38.0,247,74.0,245,10.0,241,XLK,3.0,11.0,107181903.234,0.024750569516334177
A0,2019-03-19,2019-03-20,MRVL,20.39,20.01,19.99,-285.47,-1.053,1,stop,36,12.0,1.0,4.0,81.0,229,54.0,226,53.0,220,XLK,1.0,11.0,222279060.48499998,0.025246597872773512
A0,2019-03-18,2019-03-22,ECA,7.43,7.28,7.2727,-303.52,-1.049,4,stop,13,19.0,4.0,4.0,39.0,229,98.0,226,206.0,220,XLE,8.0,11.0,224290646.7005,0.035312799401979865
A0,2019-03-26,2019-03-27,HES,61.05,60.16,60.0998,-206.4,-1.068,1,stop,29,2.0,,,72.0,252,62.0,250,132.0,244,XLE,4.0,11.0,208360564.204,0.02698717781167772
A0,2019-03-29,2019-04-03,HES,61.65,60.11,60.0499,-200.21,-1.039,5,stop,29,3.0,,,65.0,248,31.0,246,138.0,241,XLE,5.0,11.0,195391491.52350003,0.026855326469094436
A0,2019-03-29,2019-04-04,FCX,13.16,12.77,13.0569,-52.9,-0.273,6,partial;stop,10,5.0,,,142.0,248,109.0,246,127.0,241,XLB,8.0,11.0,190677000.5375,0.029510674524271634
A0,2019-02-27,2019-04-22,MELI,408.41,405.01,485.4934,2697.99,22.686,54,close<MA;partial,73,41.0,1.0,4.0,93.0,209,94.0,209,62.0,205,XLI,2.0,11.0,175503623.396,0.031023583418072785
A0,2019-04-05,2019-04-26,SWKS,86.98,85.73,87.2029,35.25,0.182,21,partial;stop,36,17.0,1.0,4.0,93.0,216,56.0,216,110.0,210,XLK,1.0,11.0,136694309.9885,0.02516886808137133
A0,2019-04-05,2019-04-29,HES,61.99,60.87,63.6953,294.68,1.518,24,close<MA;partial,29,3.0,,,72.0,216,53.0,216,148.0,210,XLE,7.0,11.0,174914365.3625,0.026167490577805264
A0,2019-04-30,2019-05-01,ACB,1117.12,1084.17,1083.0901,-408.31,-1.033,1,stop,28,22.0,5.0,5.0,102.0,192,36.0,192,60.0,190,XLV,11.0,11.0,164647381.64512548,0.029488187231197883
A0,2019-04-23,2019-05-02,VEEV,137.4,133.95,137.8976,53.04,0.145,9,partial;stop,73,44.0,2.0,4.0,57.0,178,40.0,177,23.0,173,XLK,1.0,11.0,136211077.764,0.027364548249508663
A0,2019-04-23,2019-05-06,CYBR,125.33,121.54,125.88,57.14,0.147,13,partial;stop,73,44.0,2.0,4.0,62.0,178,8.0,177,5.0,173,XLK,1.0,11.0,109409334.602,0.03453576414484039
A0,2019-05-03,2019-05-06,VEEV,142.35,140.56,137.9819,-454.51,-2.439,3,stop,73,43.0,2.0,5.0,31.0,217,27.0,215,21.0,214,XLK,1.0,11.0,140660183.551,0.02728385705644922
A0,2019-05-03,2019-05-06,RNG,117.58,115.22,115.0349,-317.83,-1.079,3,stop,73,43.0,2.0,5.0,58.0,217,33.0,215,27.0,214,XLK,1.0,11.0,99774925.66849999,0.02814471294014743
A0,2019-04-03,2019-05-10,LRCX,18.81,18.62,19.6152,617.08,4.173,37,close<MA;partial,35,8.0,,,89.0,223,63.0,222,29.0,217,XLI,2.0,11.0,400164322.484,0.026796326528565888
A0,2019-04-23,2019-05-13,DELL,32.76,31.98,33.1412,168.32,0.478,20,partial;stop,35,6.0,,,58.0,178,13.0,177,,173,XLK,1.0,11.0,99592064.18515259,0.024082066884704347
A0,2019-05-09,2019-05-13,PAYC,208.42,202.62,202.4151,-396.21,-1.035,4,stop,73,46.0,2.0,5.0,26.0,254,42.0,252,14.0,251,XLK,1.0,11.0,132390038.052,0.027831038173923194
A0,2019-05-10,2019-05-13,ZS,70.06,68.23,68.166,-392.06,-1.037,3,stop,73,48.0,2.0,6.0,59.0,269,15.0,267,9.0,266,XLK,1.0,11.0,111842576.5095,0.04446320705365598
A0,2019-05-10,2019-05-13,SAFM,154.45,149.98,149.8341,-401.53,-1.034,3,stop,20,1.0,,,14.0,269,41.0,267,38.0,266,XLP,5.0,11.0,71248941.0375,0.028910852399954452
A0,2019-05-28,2019-05-29,OKTA,112.05,107.93,107.0928,-228.12,-1.204,1,stop,73,58.0,1.0,7.0,33.0,298,13.0,293,4.0,291,XLK,5.0,11.0,193897645.6845,0.036762091403393336
A0,2019-06-07,2019-06-14,MELI,612.57,590.67,616.3083,29.93,0.171,7,partial;stop,73,62.0,1.0,5.0,43.0,299,27.0,294,27.0,292,XLI,9.0,11.0,350461395.2595,0.03573952189330767
A0,2019-06-18,2019-06-19,MTCH,73.75,71.58,71.5084,-395.17,-1.033,1,stop,73,55.0,1.0,5.0,111.0,244,16.0,239,26.0,236,XLK,6.0,11.0,94403184.70099999,0.030018431531126953
A0,2019-06-20,2019-06-21,WIX,149.14,146.7,146.5533,-248.23,-1.06,1,stop,73,56.0,1.0,5.0,89.0,255,29.0,249,31.0,246,XLK,4.0,11.0,68623124.4365,0.027992959157111398
A0,2019-06-04,2019-06-27,MKTX,299.3,294.0,317.0706,622.01,3.354,23,close<MA;partial,62,2.0,,,38.0,304,14.0,299,41.0,297,XLF,6.0,11.0,123066058.25249998,0.024369609856412778
A0,2019-07-08,2019-07-09,SNAP,15.3,15.01,14.995,-286.72,-1.051,1,stop,73,43.0,1.0,4.0,30.0,206,17.0,201,6.0,200,XLK,3.0,11.0,335186661.871,0.03536453718531386
A0,2019-07-03,2019-07-10,SBGI,55.95,54.92,54.8651,-274.53,-1.054,7,stop,48,7.0,,,173.0,235,10.0,230,16.0,228,XLC,4.0,11.0,84773405.72,0.03068651051360133
A0,2019-07-10,2019-07-16,VEEV,173.82,171.96,171.788,-166.92,-1.092,6,stop,73,44.0,1.0,4.0,76.0,204,19.0,198,25.0,197,XLK,5.0,11.0,255888074.76500002,0.027393745161766535
A0,2019-07-15,2019-07-16,OKTA,137.94,134.37,134.2356,-385.03,-1.038,1,stop,73,40.0,1.0,4.0,102.0,198,11.0,191,17.0,190,XLK,2.0,11.0,253135229.38450003,0.0334849214090996
A0,2019-07-08,2019-07-19,PAYC,239.57,236.4,238.8609,-41.8,-0.224,11,partial;stop,73,43.0,1.0,4.0,56.0,206,25.0,201,25.0,200,XLK,3.0,11.0,150756644.7575,0.02822000314849889
A0,2019-07-22,2019-07-23,DXCM,39.04,38.13,38.0944,-200.67,-1.042,1,stop,38,4.0,,,111.0,186,14.0,180,109.0,177,XLV,1.0,11.0,132204046.45749998,0.03331658821619256
A0,2019-07-10,2019-07-24,MKTX,344.95,343.95,348.663,152.04,3.691,14,partial;stop,62,2.0,,,115.0,204,14.0,198,38.0,197,XLF,3.0,11.0,244326617.8025,0.026523294588478
A0,2019-07-19,2019-07-25,GOLD,17.37,17.03,17.2727,-55.9,-0.291,6,partial;stop,50,2.0,,,10.0,192,21.0,184,39.0,183,XLI,10.0,11.0,295557213.09000003,0.03260513444147656
A0,2019-07-24,2019-07-29,ZS,85.59,82.94,82.86,-392.48,-1.031,5,stop,73,40.0,1.0,4.0,43.0,182,21.0,176,14.0,174,XLK,5.0,11.0,176933489.977,0.03354540264905086
A0,2019-07-25,2019-07-29,AYX,121.62,119.55,119.4304,-256.35,-1.058,4,stop,73,37.0,1.0,4.0,33.0,182,13.0,176,25.0,173,XLK,3.0,11.0,134132744.677,0.031753876699700465
A0,2019-07-30,2019-07-31,AYX,123.12,119.0,118.881,-190.89,-1.029,1,stop,73,39.0,1.0,4.0,35.0,178,14.0,172,15.0,169,XLK,2.0,11.0,123536359.59250002,0.03350319316933544
A0,2019-07-08,2019-08-01,PAGS,40.86,40.22,43.5763,942.27,4.237,24,close<MA;partial,73,43.0,1.0,4.0,20.0,206,13.0,201,19.0,200,XLK,3.0,11.0,71759498.6895,0.03194294327092596
A0,2019-07-30,2019-08-01,DXCM,39.29,38.06,38.0199,-192.95,-1.031,2,stop,38,7.0,,,80.0,178,25.0,172,85.0,169,XLV,5.0,11.0,109355436.24949999,0.03134022528553167
A0,2019-08-01,2019-08-02,SQ,82.74,80.69,70.7292,-2030.27,-5.841,1,stop,73,43.0,1.0,4.0,36.0,196,60.0,189,75.0,186,XLK,4.0,11.0,557423726.0109999,0.02485612180374131
A0,2019-08-01,2019-08-02,OLED,217.55,212.29,212.0731,-350.35,-1.04,1,stop,36,12.0,2.0,4.0,33.0,196,11.0,189,5.0,186,XLK,4.0,11.0,114572261.28050001,0.024187735761008064
A0,2019-08-05,2019-08-06,GOLD,17.52,17.44,17.4263,-71.17,-1.236,1,stop,50,3.0,,,44.0,260,12.0,253,45.0,248,XLI,10.0,11.0,272855146.3835,0.029136229896869432
A0,2019-08-08,2019-08-12,STNE,37.61,35.78,35.1648,-241.83,-1.337,4,stop,73,60.0,1.0,7.0,22.0,325,34.0,319,23.0,313,XLK,5.0,11.0,102029217.61649999,0.05165307367076235
A0,2019-08-21,2019-08-23,BX,49.86,49.25,49.2007,-181.24,-1.081,2,stop,62,10.0,6.0,10.0,107.0,419,68.0,414,35.0,407,XLF,10.0,11.0,299596222.424,0.028688973207793143
A0,2019-08-22,2019-08-23,KLAC,14.41,14.13,14.1139,-192.39,-1.05,1,stop,38,18.0,2.0,7.0,111.0,399,34.0,394,83.0,387,XLV,7.0,11.0,212549847.19099998,0.028683069925143495
A0,2019-08-27,2019-08-28,COUP,145.99,141.1,140.9589,-186.0,-1.029,1,stop,73,77.0,5.0,9.0,108.0,403,45.0,399,24.0,392,XLK,2.0,11.0,144103350.091,0.03739944475193547
A0,2019-08-29,2019-09-03,BX,50.13,49.27,49.2207,-191.87,-1.057,5,stop,62,10.0,6.0,11.0,86.0,386,44.0,382,27.0,375,XLF,10.0,11.0,275436554.279,0.026582822364919673
A0,2019-08-30,2019-09-03,MU,45.5,45.05,44.5554,-282.01,-2.11,4,stop,36,23.0,1.0,6.0,104.0,346,29.0,342,102.0,335,XLK,1.0,11.0,964797561.9335,0.03384882201669927
A0,2019-09-04,2019-09-05,RGLD,138.35,135.51,135.3745,-190.32,-1.048,1,stop,67,2.0,,,18.0,303,14.0,301,21.0,292,XLRE,1.0,11.0,82805708.515,0.029973544641930555
A0,2019-08-16,2019-09-06,DXCM,40.37,39.63,41.066,173.77,0.959,21,partial;stop,38,21.0,2.0,8.0,43.0,421,28.0,415,125.0,408,XLV,6.0,11.0,136427857.92249998,0.0366169184373552
A0,2019-08-26,2019-09-06,FNV,97.1,95.75,97.5037,54.9,0.302,11,partial;stop,10,10.0,1.0,9.0,48.0,413,36.0,409,62.0,402,XLB,6.0,11.0,61198663.25699999,0.026951193756260754
A0,2019-09-30,2019-10-01,NWL,18.86,18.59,18.5714,-213.27,-1.069,1,stop,30,2.0,,,58.0,299,22.0,299,56.0,290,XLB,9.0,11.0,79551300.2335,0.026810515466404717
A0,2019-08-29,2019-10-09,KLAC,14.58,14.51,15.6143,965.51,14.546,41,close<MA;partial,38,16.0,3.0,11.0,69.0,386,28.0,382,72.0,375,XLV,7.0,11.0,220058069.29099998,0.02959381738383845
A0,2019-10-15,2019-10-16,KLAC,16.28,15.96,15.942,-299.11,-1.049,1,stop,38,10.0,1.0,6.0,31.0,241,9.0,240,27.0,231,XLV,7.0,11.0,229389376.78999996,0.02428970015413307
A0,2019-10-16,2019-10-17,JWN,35.67,34.63,34.5979,-390.8,-1.034,1,stop,56,5.0,,,74.0,233,18.0,232,148.0,223,XLY,10.0,11.0,94132567.7015,0.03292358403617323
A0,2019-10-07,2019-10-18,DOCU,65.14,62.69,65.7312,91.2,0.244,11,partial;stop,73,71.0,4.0,8.0,2.0,338,20.0,338,61.0,328,XLK,4.0,11.0,268143622.16149998,0.037482958273112335
A0,2019-09-05,2019-10-21,TER,54.41,54.25,59.4821,1269.15,32.657,46,close<MA;partial,38,10.0,2.0,6.0,100.0,286,48.0,284,47.0,275,XLV,9.0,11.0,93344342.0805,0.025531180549662396
A0,2019-10-21,2019-10-28,PVH,89.79,88.47,89.9878,31.11,0.15,7,partial;stop,23,3.0,,,65.0,232,69.0,230,198.0,225,XLY,7.0,11.0,85299687.578,0.02645402635737994
A0,2019-10-21,2019-10-30,JWN,35.86,35.01,36.2275,146.81,0.439,9,partial;stop,56,5.0,,,23.0,232,18.0,230,151.0,225,XLY,7.0,11.0,87295422.365,0.032810528204586444
A0,2019-10-23,2019-10-30,SEDG,90.59,86.97,86.883,-389.28,-1.024,7,stop,36,18.0,3.0,5.0,112.0,230,5.0,228,6.0,223,XLK,9.0,11.0,110927036.432,0.04045913482766601
A0,2019-10-23,2019-10-30,APO,40.93,39.88,40.9072,-8.24,-0.023,7,partial;stop,62,7.0,,,87.0,230,34.0,228,33.0,223,XLF,5.0,11.0,80183260.893,0.028691037263158976
A0,2019-10-10,2019-10-31,MDCO,51.98,50.14,52.1792,40.25,0.107,21,partial;stop,28,23.0,4.0,6.0,10.0,263,6.0,263,4.0,253,XLV,10.0,11.0,104496553.8915,0.03537645843150314
A0,2019-09-06,2019-11-04,RH,149.91,145.08,175.4747,1917.37,5.298,59,close<MA;partial,57,3.0,,,80.0,273,7.0,271,121.0,261,XLY,3.0,11.0,86533888.82000001,0.032190373695648984
A0,2019-11-04,2019-11-05,DOCU,68.24,67.62,67.5524,-140.59,-1.109,1,stop,73,53.0,7.0,7.0,99.0,237,5.0,235,45.0,230,XLK,1.0,11.0,148150334.219,0.033382136403506575
A0,2019-11-04,2019-11-05,TPR,26.67,26.35,25.8841,-411.62,-2.471,1,stop,31,3.0,,,132.0,237,164.0,235,164.0,230,XLY,7.0,11.0,108666663.7835,0.026908749625474394
A0,2019-11-07,2019-11-08,NVDA,5.29,5.16,5.1583,-359.49,-1.04,1,stop,36,22.0,4.0,6.0,65.0,264,18.0,262,52.0,256,XLK,2.0,11.0,1583501004.303,0.026061704181760258
A0,2019-11-05,2019-11-12,FL,45.5,44.82,45.6638,51.67,0.249,7,partial;stop,56,5.0,,,125.0,248,87.0,246,188.0,240,XLY,8.0,11.0,79242371.7315,0.02448307856419297
A0,2019-11-05,2019-11-13,SKX,38.97,38.0,38.955,-5.0,-0.014,8,partial;stop,31,3.0,,,149.0,248,82.0,246,40.0,240,XLY,8.0,11.0,68523090.1855,0.026397781644450623
A0,2019-11-12,2019-11-13,NVDA,5.3,5.21,5.2026,-250.85,-1.058,1,stop,36,20.0,5.0,7.0,77.0,279,21.0,278,44.0,272,XLK,3.0,11.0,1540345162.3804002,0.026100378047376777
A0,2019-11-12,2019-11-13,KLAC,17.56,17.36,17.3476,-168.84,-1.089,1,stop,38,15.0,3.0,7.0,108.0,279,31.0,278,8.0,272,XLV,5.0,11.0,232179133.6375,0.02588078493696678
A0,2019-11-15,2019-11-18,KLAC,17.9,17.71,17.6933,-161.92,-1.093,3,stop,38,13.0,2.0,6.0,90.0,273,33.0,271,15.0,267,XLV,6.0,11.0,224804020.796,0.024346202445062366
A0,2019-11-20,2019-11-21,RNG,174.3,170.11,169.9399,-192.03,-1.041,1,stop,73,58.0,5.0,6.0,115.0,266,46.0,262,27.0,257,XLK,2.0,11.0,212846922.534,0.036525282959214
A0,2019-11-01,2019-11-22,APO,42.1,41.05,42.532,142.91,0.412,21,close<MA;partial,62,3.0,,,42.0,222,16.0,220,33.0,215,XLF,5.0,11.0,76768720.69549999,0.024980542157237343
A0,2019-11-20,2019-12-02,NVDA,5.34,5.21,5.3771,53.14,0.288,12,partial;stop,36,21.0,4.0,6.0,127.0,266,53.0,262,31.0,257,XLK,2.0,11.0,1806929242.9786,0.024717402298131554
A0,2019-11-21,2019-12-02,ALGN,273.13,267.43,274.2876,36.95,0.202,11,partial;stop,38,12.0,2.0,6.0,22.0,267,11.0,263,190.0,257,XLV,4.0,11.0,237372159.51800004,0.027499156159062278
A0,2019-11-04,2019-12-03,PVH,93.46,90.93,94.3501,130.36,0.35,29,partial;stop,23,4.0,,,101.0,237,52.0,235,201.0,230,XLY,7.0,11.0,78231906.2235,0.027083401326065022
A0,2019-12-04,2019-12-05,REGN,372.96,367.57,367.2024,-207.37,-1.068,1,stop,28,28.0,1.0,3.0,29.0,203,32.0,200,45.0,196,XLV,2.0,11.0,325528656.67450005,0.027080969848497744
A0,2019-12-11,2019-12-12,X,14.45,13.85,13.7263,-442.73,-1.205,1,stop,33,2.0,,,82.0,161,56.0,158,70.0,153,XLB,4.0,11.0,157314782.5845,0.042518651779440406
A0,2019-12-06,2019-12-16,CPRI,38.1,37.3,38.3294,83.52,0.292,10,partial;stop,31,2.0,,,66.0,189,23.0,185,64.0,180,XLY,10.0,11.0,100966477.6225,0.03273467427921743
A0,2019-12-13,2019-12-16,PVH,105.94,104.24,104.1358,-232.21,-1.061,3,stop,23,4.0,,,58.0,166,44.0,163,48.0,160,XLY,9.0,11.0,107823048.507,0.024829858293703398
A0,2019-12-18,2019-12-19,PVH,107.1,105.08,104.9749,-271.62,-1.052,1,stop,23,4.0,,,84.0,172,47.0,169,45.0,165,XLY,8.0,11.0,110185879.68399999,0.025013215876105072
A0,2019-11-25,2019-12-20,ZBRA,249.08,243.61,250.0744,54.76,0.182,25,partial;stop,35,11.0,3.0,6.0,61.0,251,52.0,248,31.0,242,XLI,2.0,11.0,130045148.501,0.026045117981354053
A0,2019-12-27,2019-12-30,LITE,79.87,78.83,78.7512,-193.52,-1.076,3,stop,36,8.0,,,51.0,149,25.0,149,24.0,146,XLK,2.0,11.0,123961625.0915,0.025601143201162375
A0,2019-12-31,2020-01-02,ICPT,125.12,122.5,121.1587,-436.29,-1.511,2,stop,28,24.0,1.0,3.0,34.0,145,9.0,145,17.0,142,XLV,2.0,11.0,94709765.8215,0.0444376002910318
A0,2019-12-31,2020-01-02,TDOC,84.15,82.38,82.2976,-302.6,-1.046,2,stop,80,3.0,,,96.0,145,43.0,145,42.0,142,XLV,2.0,11.0,82611629.388,0.02913517914844191
A0,2020-01-02,2020-01-03,DXC,38.23,37.17,36.0739,-374.85,-2.04,1,stop,73,33.0,3.0,3.0,80.0,137,29.0,137,123.0,134,XLK,1.0,11.0,131974532.024,0.027623166571074286
A0,2020-01-07,2020-01-13,DXCM,57.62,56.25,56.1962,-189.7,-1.041,6,stop,38,8.0,,,102.0,137,26.0,137,18.0,132,XLV,2.0,11.0,186610312.4355,0.030606925986991503
A0,2020-01-16,2020-01-17,DVN,26.94,26.39,26.3586,-197.2,-1.048,1,stop,13,14.0,3.0,3.0,53.0,136,41.0,135,59.0,130,XLE,10.0,11.0,155639277.0955,0.026090972552644243
A0,2020-01-23,2020-01-27,WDC,70.57,68.64,66.2037,-427.94,-2.262,4,stop,35,1.0,,,29.0,137,70.0,136,39.0,131,XLK,1.0,11.0,311984125.34749997,0.027642585377155617
A0,2019-12-13,2020-01-28,NVDA,5.63,5.55,5.9906,891.0,4.556,46,close<MA;partial,36,8.0,,,72.0,166,30.0,163,18.0,160,XLK,2.0,11.0,1974492680.9473999,0.025079687967061153
A0,2019-12-12,2020-01-30,AMD,41.83,40.65,45.5283,1149.63,3.13,49,close<MA;partial,36,7.0,,,46.0,155,22.0,152,35.0,148,XLK,2.0,11.0,2013265914.0904999,0.028229441452764643
A0,2020-01-29,2020-01-31,GE,62.71,62.25,62.1897,-116.7,-1.135,2,stop,36,16.0,2.0,5.0,75.0,195,42.0,194,63.0,188,XLK,1.0,11.0,721297650.5941113,0.024654867584763922
A0,2020-01-31,2020-02-03,DXCM,60.6,59.5,59.443,-263.93,-1.054,3,stop,38,12.0,3.0,5.0,60.0,220,15.0,220,25.0,213,XLV,4.0,11.0,179188681.874,0.032197019795561166
A0,2020-01-28,2020-02-05,PODD,194.15,192.47,195.1551,72.08,0.595,8,partial;stop,38,10.0,3.0,5.0,32.0,176,39.0,175,15.0,169,XLV,2.0,11.0,85849434.887,0.025717533870533115
A0,2020-02-04,2020-02-05,MELI,697.92,684.22,683.5358,-287.63,-1.05,1,stop,73,43.0,3.0,5.0,45.0,230,40.0,230,83.0,223,XLI,8.0,11.0,280146784.922,0.028033709506118793
A0,2020-02-05,2020-02-06,NFLX,37.55,36.4,36.3653,-382.65,-1.032,1,stop,78,2.0,,,51.0,229,48.0,229,78.0,222,XLC,2.0,11.0,2907204829.5360003,0.03057950829163624
A0,2020-02-05,2020-02-06,CYBR,144.89,140.65,139.1907,-496.25,-1.345,1,stop,73,42.0,2.0,5.0,36.0,229,35.0,229,92.0,222,XLK,1.0,11.0,91759944.2615,0.02927109082114985
A0,2020-02-07,2020-02-14,UBER,40.02,38.86,38.8211,-189.42,-1.034,7,stop,73,50.0,2.0,6.0,50.0,263,32.0,263,194.0,256,XLI,9.0,11.0,1001945677.4814999,0.03485410581261082
A0,2020-02-11,2020-02-24,NFLX,37.56,36.97,37.0229,-170.51,-0.914,13,partial;stop,78,2.0,,,63.0,268,56.0,268,87.0,262,XLC,4.0,11.0,2921747414.1735,0.030677404200493363
A0,2020-01-07,2020-02-25,SHOP,41.7,41.01,48.5314,1816.72,9.903,49,close<MA;partial,73,32.0,3.0,3.0,53.0,137,43.0,137,33.0,132,XLK,1.0,11.0,807409315.0505,0.034285542224855386
A0,2020-02-10,2020-03-04,RNG,211.98,206.8,233.6124,757.07,4.174,23,close<MA;partial,73,51.0,2.0,5.0,42.0,263,60.0,263,24.0,257,XLK,1.0,11.0,170813902.0035,0.02697686328539791
A0,2020-01-06,2020-03-13,TDOC,84.58,82.28,118.2649,2660.75,14.583,67,close<MA;partial,80,3.0,,,68.0,131,38.0,131,39.0,128,XLV,2.0,11.0,77460639.91800001,0.027574844016635663
A0,2020-04-06,2020-04-15,LM,49.64,48.54,49.0609,-164.35,-0.526,9,partial;stop,62,21.0,11.0,21.0,54.0,855,12.0,853,33.0,848,XLF,10.0,11.0,198920004.10750002,0.028250622037217187
A0,2020-04-22,2020-04-23,FSCT,32.63,32.41,32.3776,-109.91,-1.146,1,stop,35,31.0,10.0,17.0,497.0,750,95.0,749,67.0,745,XLK,3.0,11.0,65337778.625,0.024870570038433872
