ticker,start,peak,year,raw_trough,gain_x,ndays,cum_dvol,shares,mcap,k,so_end
NNVC,2020-01-22,2020-01-27,2020,3.82,4.136125654450262,4,870046972.8136001,3870572.0,14785585.04,58.84427098825169,2019-12-31
APT,2020-02-21,2020-02-27,2020,5.7,4.4298245614035086,5,1385635512.488,13502684.0,76965298.8,18.003379887976216,2019-12-31
AHPI,2020-02-24,2020-02-28,2020,3.13,7.667731629392971,5,351528718.999,4013537.0,12562370.809999999,27.982673359647475,2020-01-31
CODX,2020-02-24,2020-03-02,2020,3.93,4.531806615776081,6,2505624469.312263,17342922.0,68157683.46000001,36.76217180683304,2019-12-31
ABIO,2020-05-21,2020-05-28,2020,3.78,5.082010582010582,5,1121998806.200046,1594070.0,6025584.6,186.20580087781792,2020-05-05
COHN,2020-06-11,2020-06-19,2020,3.3601,4.020713669236034,7,326413539.6573,1246710.0,4189070.271,77.92028267393559,2020-05-05
APVO,2020-11-02,2020-11-11,2020,6.300000000000001,7.6761904761904765,8,2035589222.6245363,3232811.0,20366709.3,99.94688845608142,2020-09-30
FPRX,2020-11-06,2020-11-12,2020,5.0,4.486,5,2211555894.7595,38037666.0,190188330.0,11.628241831449385,2020-10-30
GLSI,2020-12-02,2020-12-10,2020,5.6,12.896428571428572,7,1631055389.863,12019089.0,67306898.39999999,24.23310876947199,2020-11-16
SLS,2020-12-03,2020-12-10,2020,3.71,4.7601078167115904,6,2070429325.7541,9461978.0,35103938.38,58.979972655538255,2020-11-13
KOSS,2021-01-22,2021-01-29,2021,3.34,19.16167664670659,6,3046808123.2402,7447489.0,24874613.259999998,122.48665301420651,2020-12-31
AUVI,2021-02-02,2021-02-09,2021,4.92,4.0060975609756095,6,2605948384.775,7945034.0,39089567.28,66.66608422929055,2020-12-31
SCKT,2021-02-09,2021-02-16,2021,3.03,6.8250825082508255,5,4314868527.1308,6102630.0,18490968.9,233.35005052822302,2020-12-31
OCG,2021-03-10,2021-03-22,2021,3.44,4.125,9,3257228409.0667167,30054712.0,103388209.28,31.504834368930435,2020-12-31
TKAT,2021-03-11,2021-03-22,2021,3.93,12.468193384223918,8,4864262809.3707,11271379.0,44296519.47,109.8113998023037,2020-12-31
DLPN,2021-03-12,2021-03-24,2021,4.51,4.248337028824834,9,3993508337.4205003,6618785.0,29850720.349999998,133.78264546371327,2020-12-31
RHE,2021-04-27,2021-05-05,2021,4.4,4.429545454545454,7,3040876247.4082003,1688000.0,7427200.000000001,409.4243116394065,2021-03-31
RGC,2021-08-19,2021-08-25,2021,6.3004,7.353437876960193,5,1150325365.5707998,10000000.0,63004000.0,18.257973550422193,2021-06-30
ISPC,2021-11-19,2021-11-29,2021,4.920000000000001,4.150406504065041,6,4498605678.705,6996758.0,34424049.36000001,130.68205984889974,2021-11-01
ISIG,2021-12-03,2021-12-09,2021,4.94,4.757085020242915,5,3290190334.1751003,1768114.0,8734483.16,376.6897564406204,2021-11-03
SOPA,2021-12-14,2021-12-22,2021,3.86,4.225388601036269,7,3760422771.3439045,19182569.0,74044716.34,50.78583533329671,2021-12-08
INDO,2022-02-18,2022-03-07,2022,4.49,13.697104677060134,11,6751570038.9285,7447955.0,33441317.950000003,201.8930608244314,2021-12-31
NERV,2022-08-19,2022-08-30,2022,3.105,4.241545893719807,8,2557628727.4978,5340193.0,16581299.265,154.24778762038704,2022-08-04
ATXI,2022-09-26,2022-10-04,2022,3.52,4.119318181818182,7,1247865760.827325,1475652.2666666666,5194295.978666667,240.23770804597893,2022-08-08
KALA,2022-12-23,2022-12-30,2022,3.88,9.832474226804123,5,1849057536.9062,1518424.0,5891485.12,313.85253450427115,2022-11-07
BAOS,2023-04-25,2023-05-01,2023,3.18,5.031446540880503,5,45829847.863299996,1524468.6666666665,4847810.359999999,9.453721259694655,2022-12-31
OMH,2023-05-05,2023-05-15,2023,6.1991000000000005,4.981368263134971,7,387231849.1766,16250000.0,100735375.00000001,3.8440503068222056,2022-12-31
SLNO,2023-09-21,2023-09-29,2023,4.11,7.180048661800487,7,1332280078.8283,9992178.0,41067851.580000006,32.44094900443048,2023-08-03
VVOS,2023-11-22,2023-11-29,2023,3.99,10.275689223057643,5,783366797.8337001,1197258.0,4777059.42,163.9851483852173,2023-11-13
CRBP,2024-01-23,2024-01-26,2024,7.3,4.03972602739726,4,848727561.4498,4423683.0,32292885.9,26.282183762641047,2023-12-31
