year,arm,threshold_usd,n_events,censored,event_pct_neg,event_median_pct,control_n,control_pct_neg,control_median_pct,gap_pct_neg,gap_median_pct,powered
2023,sweep / best-separating,50000000.0,3284,15,56.12058465286236,-0.3600362952880909,643528,48.703242127770665,0.0,7.417342525091698,-0.3600362952880909,yes
2023,sweep,100000000.0,1500,5,56.06666666666666,-0.36387962582239974,645312,48.72387310324308,0.0,7.342793563423584,-0.36387962582239974,yes
2023,sweep / HIS STATED LEVEL,200000000.0,789,0,53.99239543726235,-0.1725531310748485,646023,48.73448778139478,0.0,5.2579076558675695,-0.1725531310748485,yes
2023,sweep,300000000.0,527,0,53.510436432637576,-0.16712975536382624,646285,48.73701230881113,0.0,4.7734241238264445,-0.16712975536382624,yes
2023,sweep,500000000.0,196,0,52.04081632653062,-0.08325696134668381,646616,48.739901270615015,0.0,3.3009150559156026,-0.08325696134668381,yes
2023,sweep,750000000.0,60,0,41.66666666666667,0.20653594612488613,646752,48.74155781505121,0.0,-7.074891148384538,0.20653594612488613,yes
2023,sweep,1000000000.0,23,0,39.130434782608695,0.19425351150579306,646789,48.74124328026605,0.0,-9.610808497657352,0.19425351150579306,no
2023,sweep,1500000000.0,5,0,40.0,0.0,646807,48.74096909897388,0.0,-8.740969098973878,0.0,no
2023,sweep,2000000000.0,2,0,50.0,-0.5583126550868511,646810,48.74089763609097,0.0,1.2591023639090295,-0.5583126550868511,no
2024,sweep,50000000.0,5220,13,53.86973180076629,-0.23569474552251335,607017,50.01260261244743,-0.00044169416212325174,3.857129188318858,-0.2352530513603901,yes
2024,sweep,100000000.0,2755,8,54.33756805807622,-0.28571428571427804,609482,50.026087726955026,-0.0009025189303346615,4.311480331121196,-0.2848117667839434,yes
2024,sweep / best-separating,200000000.0,1439,3,54.41278665740097,-0.24752475247524774,610798,50.03519985330666,-0.000961072717076128,4.377586804094314,-0.24656367975817162,yes
2024,sweep,300000000.0,888,2,52.47747747747747,-0.13073652175473183,611349,50.0419563947925,-0.001324485768394723,2.4355210826849714,-0.1294120359863371,yes
2024,sweep,500000000.0,376,1,50.53191489361703,-0.016229162593978108,611861,50.04519000230444,-0.0017636373256135762,0.48672489131259056,-0.014465525268364532,yes
2024,sweep,750000000.0,174,0,50.57471264367817,-0.016229162593978108,612063,50.045338470059455,-0.0017856823985362702,0.529374173618713,-0.014443480195441838,yes
2024,sweep,1000000000.0,89,0,47.19101123595505,0.09558669246729767,612148,50.04590393172893,-0.0018350848011217114,-2.854892695773877,0.09742177726841939,yes
2024,sweep,1500000000.0,42,0,45.23809523809524,0.8475638604036995,612195,50.04581873422684,-0.0018148820326691073,-4.807723496131601,0.8493787424363686,no
2024,sweep,2000000000.0,31,0,45.16129032258064,0.7874015748031482,612206,50.04573623910906,-0.001811600148349246,-4.884445916528421,0.7892131749514975,no
2025,sweep,50000000.0,10932,31,54.13465056714234,-0.3695723897159775,591874,50.473749480463745,-0.04494382022472987,3.6609010866785923,-0.32462856949124763,yes
2025,sweep,100000000.0,6008,14,54.460719041278296,-0.37509534838011116,596798,50.500671919141816,-0.04697329883502355,3.96004712213648,-0.3281220495450876,yes
2025,sweep,200000000.0,3115,9,54.959871589085076,-0.3689516129032233,599691,50.51718301591986,-0.048030739673399214,4.4426885731652135,-0.3209208732298241,yes
2025,sweep / best-separating,300000000.0,2050,5,55.024390243902445,-0.32747629416228774,600756,50.52483870323392,-0.04826254826253429,4.499551540668527,-0.27921374589975345,yes
2025,sweep,500000000.0,1066,1,54.502814258911826,-0.371891755405801,601740,50.533120616877724,-0.048635175570344025,3.969693642034102,-0.32325657983545697,yes
2025,sweep,750000000.0,626,1,53.51437699680511,-0.24379526013949548,602180,50.537048722973196,-0.04873294346977586,2.9773282738319153,-0.19506231666971963,yes
2025,sweep,1000000000.0,444,1,53.82882882882883,-0.22835291146952041,602362,50.53771652262261,-0.04875373288872331,3.291112306206223,-0.1795991785807971,yes
2025,sweep,1500000000.0,270,0,50.37037037037037,-0.030239725159136865,602536,50.540216684148334,-0.048780487804889194,-0.16984631377796688,0.01854076264575233,yes
2025,sweep,2000000000.0,184,0,50.54347826086957,-0.03343860083498962,602622,50.54013958999174,-0.048780487804889194,0.003338670877830907,0.015341886969899576,yes
2021,ex-top-5 robustness,1000000000.0,229,0,69.86899563318777,-9.859154929577452,599363,48.91626610251217,0.0,20.952729530675597,-9.859154929577452,yes
2023,ex-top-5 robustness,200000000.0,784,0,54.08163265306123,-0.1729016521625104,646023,48.73448778139478,0.0,5.347144871666444,-0.1729016521625104,yes
